Action Label,Stage 1,Stage 2,Stage 3
shaking body,"Head and torso subtly tense, ready to initiate oscillatory motion from a stable sitting position.","Torso and head rapidly oscillate with small amplitude, achieving peak speed in a localized, rhythmic shaking.","The oscillatory motion decelerates, and the head and torso return to a stable, stationary posture."
sitting straightly,"Torso is initially in a relaxed or slightly misaligned posture, with overall low speed, preparing for an upward adjustment.","Torso and head gently move upwards to achieve spinal alignment, driven by slight back muscle engagement, with very low peak speed and minimal amplitude.","The body decelerates into a stable, upright sitting position, maintaining a straight posture with torso and head vertically aligned."
shrugging,"Shoulders are in a relaxed posture, with arms crossed, preparing for an upward movement.","Shoulders rapidly elevate, moving upwards towards the head, showing a distinct and swift lift.",Shoulders decelerate and return to their initial relaxed and stable position.
turning around,"Torso and head are oriented forward, at low speed, preparing to rotate laterally.","The torso rapidly rotates to one side, driven by the upper body, with the head following, achieving a full turning motion at peak speed.","The torso and head decelerate, returning to a stable, forward-facing position."
rising up,"Torso and legs are positioned in a seated posture, with the torso often leaning slightly forward and overall speed being low, preparing for an upward movement.","In a short burst, legs drive the motion by rapidly extending, and the torso straightens, moving the body upward with a clear speed peak and significant vertical amplitude.","The action decelerates as the body stabilizes into an upright standing posture, with legs fully extended and the torso aligned, coming to rest in a stable, elevated position."
bowing head,"The head is in a neutral, upright position with low overall speed, preparing to move downwards towards the torso.","Driven by the head, it quickly moves downwards and slightly forward, reaching a speed peak with a significant downward arc.","The motion decelerates, and the head settles into a stable bowed posture, resting close to the torso."
head up,"Head is in a slightly lowered or neutral position, overall speed is low, preparing to move upwards.","Driven by the head, it quickly moves upwards, reaching a speed peak with moderate amplitude.","The head decelerates and stabilizes in an elevated position, maintaining an upright posture."
tilting head,"The head is in an upright, neutral position, with low initial velocity, preparing for lateral movement towards a shoulder.","The head moves laterally from the neck, quickly reaching maximum tilt towards one shoulder, showing a speed peak.","The movement decelerates as the head returns to its initial upright, stable position."
turning head,"Head is in a neutral position, with low speed, preparing to turn.","The head rapidly rotates to the left or right, reaching a speed peak and moderate amplitude.","The head decelerates, returning to a stable, often central, position."
nodding,"The head is in a neutral or slightly upright position, with low initial speed, preparing for a downward movement.","The head quickly moves downwards, driven by the neck, then immediately reverses direction to move upwards, reaching a moderate amplitude.","The head decelerates and returns to its original neutral or slightly upright position, stabilizing the posture."
shaking head,"The head is in a neutral, forward-facing position, with initial low speed, preparing for lateral motion.","The head quickly moves from side to side, driven by the neck, reaching peak speed during its oscillation and reversing direction multiple times, with moderate amplitude.","The head decelerates from its lateral movement and returns to a stable, neutral posture, ending the oscillation."
scratching arms,"One hand is positioned on the other arm, with low initial speed, preparing to make contact for scratching.","The hand quickly moves back and forth on the arm, driven by the wrist and fingers, performing a scratching motion with moderate amplitude.","The scratching motion decelerates, and the hand either pauses on the arm or returns to a resting position."
playing objects,"Hands are in a low initial posture, holding a small object near the lap or torso, with overall low speed, preparing for manipulation.","Fingers and hands subtly manipulate the object with small, intricate movements like turning or adjusting, localized to the hands at low to moderate speed and small amplitude.","The manipulation ceases, hands decelerate, and the object is either held steadily or placed back near the lap or torso, returning to a stable position."
putting hands together,"The hands are resting on the lap, often with one hand slightly over the other, at a low overall speed, preparing to approach each other.","Driven by the arms, the hands move inward and slightly upward, making contact and clasping together with a moderate speed peak and relatively small amplitude.","The action decelerates as the hands remain stably clasped together, coming to a halt in front of the body."
rubbing hands,"The hands are initially separated, resting on the thighs, then begin to move towards each other slowly in front of the torso.","The hands meet, making brief palm-to-palm contact with a subtle, short rubbing motion, then quickly interlace.","The clasped hands remain together in front of the torso, reducing all movement and holding a stable posture."
pointing oneself,"The dominant hand, often starting from a relaxed or lowered position, begins to lift and move towards the torso, with overall low speed, preparing to point.","The arm, primarily driven by the elbow, quickly moves the hand towards the chest or upper torso. The index finger typically extends, lightly touching or directly pointing at oneself, reaching a speed peak.","The action decelerates, and the hand either holds the pointing position on the torso briefly or retracts to a relaxed, neutral position, recovering to near the initial relative position."
clenching fist,"The hands are relaxed with fingers extended, often resting on the thighs. Movement speed is low as the fingers prepare to curl inward.","In a short period, the fingers rapidly curl inward, led by the hand, forming a tight fist. The movement is localized with a small amplitude.","The action decelerates, and the fist is either held tightly or the fingers gradually relax, returning to a stable resting position."
stretching arms,"Arms bent at the elbows, positioned near the torso or on the lap, with low overall speed, preparing for extension.","Arms rapidly extend outwards or upwards from the body, driven by the shoulders and elbows, reaching full extension with peak speed.","Arms decelerate and smoothly return to a relaxed position, either to the sides or resting on the lap."
retracting arms,"Arms are initially in a relaxed or slightly extended position, typically resting on the legs, preparing for inward movement towards the torso.","The elbows quickly bend, drawing forearms and hands inward and slightly upward towards the torso with moderate speed, achieving a small to moderate range of motion.","Arms then smoothly extend downward and outward, decelerating as they return to a relaxed, stable resting position, often back on the legs."
waving,"Hands are resting on the lap or by the sides, with low overall speed, preparing for an upward and outward motion.","In a very short time, driven by the wrist and arm, one or both hands move upwards and outwards, performing a repetitive back-and-forth motion, reaching a speed peak and moderate amplitude.","The motion decelerates and hands return to a stable resting posture, approaching their initial relative placement."
spreading hands,"Hands are in a relaxed or closed posture, often resting on the legs or by the torso, preparing to move outwards.","In a short burst of motion, hands and fingers actively extend and spread outwards from the body or from each other, reaching maximum separation or openness.","The spreading motion ceases, and the hands decelerate, settling into an open, stable position, often resting on the legs or held briefly in the air."
hands touching fingers,"The hands are initially separated, often resting on the lap or knees, moving at a low overall speed, preparing or approaching towards the center of the body.","Driven by the arms, the hands move inward with moderate speed, where the fingers of one hand lightly touch the fingers of the other, resulting in a gentle contact. The motion amplitude is moderate.","The action decelerates, and the hands remain in a stable posture with fingers touching, resting either on the lap or held in front of the torso."
other finger movements,"The hand is in a relaxed position, often resting on the leg or near the trunk, with fingers in a neutral posture and low overall speed, preparing for movement.","Driven by the fingers, they perform localized small movements such as rubbing, tapping, or subtle gestures. This phase involves moderate speed and a small range of motion.","The finger movements decelerate, with the hand and fingers either returning to a relaxed, stable posture or remaining in light contact with a nearby body part like the face or other hand."
illustrative gestures,"The hands and arms are in a relaxed, resting position, often near the torso or lap. The overall speed is low, as they prepare for an expressive movement.","Driven primarily by the wrist and forearm, the hand moves briefly outwards or forwards with a quick burst of speed, reaching a moderate range of motion before changing direction.","The movement decelerates, and the hand and arm return to a stable, resting position, typically near the initial location or on the lap."
shaking legs,"The legs are bent with feet relaxed or slightly elevated, preparing for movement at a low initial speed.","The lower legs oscillate rapidly, driven by the knees, with small-amplitude up-and-down or back-and-forth movements, reaching a peak velocity.","The shaking motion continues or decelerates, bringing the legs and feet back to a relaxed, stable position."
curling legs,"The legs are initially in a relaxed, downward position, with the feet resting on the floor or slightly extended. Overall speed is low, preparing for movement.","Driven by the knee joint, one leg is lifted and bent, bringing the foot backward and inward towards the body. There is a brief speed peak as the leg performs the curl.","The leg decelerates and settles into a bent, tucked position, with the foot often resting on the other leg."
spread legs,"Legs are initially close together, preparing to spread outwards.","Legs move outwards, driven by the hip, reaching maximum spread.","Legs decelerate, settling into a stable, widely spread position."
closing legs,"Legs are initially in an open posture, with low initial speed, preparing to move inward.","The legs rapidly move inward, driven by the hip joints, bringing the knees and thighs close together, often touching, with movement speed peaking.","The legs decelerate and come to rest in a stable, closed position, with the knees and thighs touching or nearly touching."
