Action Label,Global,Head,Arms,Hands,Torso,Legs,Feet
shaking body,"The torso and head move together in a rhythmic, small-amplitude motion, first tilting slightly to the left or right and then returning to an upright position, while seated, with no noticeable movement of the arms, legs, or feet.",Head follows the torso with small left-right motion and minimal tilt.,"The arms remain relaxed and still, with no noticeable movement.","The hands stay in a resting position, with minimal or no movement.","The torso moves gently left or right, with a small amplitude, and then returns to an upright position.","The legs stay still, with no movement, maintaining a seated position.","The feet remain planted and stationary, with no noticeable movement during the shaking motion."
sitting straightly,"The spine extends vertically to achieve an upright posture, with minimal movement in the head, arms, and legs, while seated.",Centers over the neck with chin level.,Upper arms lie close to the torso line.,Rest on thighs with open palms.,Spine extends upward with chest gently lifted.,Knees align over hips without crossing.,Feet remain planted and stationary beneath the knees.
shrugging,"The shoulders elevate towards the ears in a small-amplitude motion, without torso rotation, while seated with arms resting.",Remains centered with minimal vertical drift.,Upper arms lift as shoulders rise toward ears.,Lift slightly beside hips following the shrug.,Torso stays centered and upright; shoulders lift without torso turning.,Knees keep their seated spacing.,Feet remain stationary.
turning around,"Head and torso turn left and right together, with moderate-amplitude movement along the vertical axis, while the lower body remains stationary, seated.",Rotates toward the turning side.,Upper arms move with the torso turn without flaring outward.,Hands stay near the lap and move slightly with the torso turn.,Torso turns left and right with moderate amplitude while remaining upright.,One thigh slides a little; the other remains anchored.,One foot rotates about the ankle; the other remains planted with minimal motion.
rising up,"The torso and legs (hips and knees) extend upward from a seated position, transitioning to standing with minimal use of the arms.",Head moves slightly upward with the torso rise and remains centered.,Upper arms swing slightly.,Hands rest on the thighs or hover near the thighs during the rise.,"Torso inclines slightly, then rises upward from a seated posture.",Knees extend as hips lift.,Both feet drive downward and may slide slightly back.
bowing head,"The head tilts downward toward the chest, with a moderate amplitude, while seated, without torso movement.",chin tucked toward the chest line; head slightly lowered.,Drift slightly forward with the posture.,Slide a little higher on thighs.,Upper back follows with mild forward bend.,Knees hold position under hips.,Feet remain stationary.
head up,"The head moves upward to return to a neutral position from a downward tilt, with a moderate amplitude, while seated.",Extends upward; chin moves away from the chest.,Elbows open slightly as chest lifts.,Set lower on thighs as the body extends.,Torso remains upright and stable with minimal movement.,Knees keep alignment with minimal change.,Feet remain stationary.
tilting head,"The head moves from a neutral position to a tilt, either downward or sideways, with a larger amplitude than nodding, while seated.","The head tilts downward or sideways from a neutral position, with a larger amplitude than nodding.","The arms remain still and relaxed, with no noticeable movement.","The hands remain in a resting position, with minimal involvement in the movement.","The torso stays upright and stationary, with no significant movement.","The legs remain still, with minimal movement.","The feet stay planted and still, with no significant movement."
turning head,Head turns slowly left and right with controlled motion; the torso stays mostly still.,"The head turns slowly left or right along the horizontal axis, with controlled movement.","The arms stay still, with minimal involvement in the movement.","The hands remain relaxed in a resting position, with no significant motion.",The torso remains upright and stationary.,"Legs remain still, with no noticeable movement.","The feet remain planted and stationary, with minimal ankle motion."
nodding,"The head moves up or down along the vertical axis in small, or repeated motions with minimal torso movement, while seated.",Head moves up and down in small repeated motions along the vertical axis.,"The arms remain still and relaxed, with no noticeable movement.","The hands stay in a resting position, with minimal involvement in the movement.",The torso stays upright and remains stable.,The legs remain stationary with minimal movement.,"The feet remain planted and still, with no significant movement."
shaking head,Head moves left-right quickly in small repeated motions; the torso stays mostly still.,Head moves rapidly left-right in small repeated motions.,"The arms remain still, with no movement.","The hands stay relaxed and in a resting position, with no involvement in the head movement.",Torso remains upright and stable with minimal tilt or turning.,"The legs remain still, with minimal movement.","The feet remain planted and stationary, with no noticeable movement."
